27.25,27.31,26.69,26.87,0
27.25,27.44,26.56,26.81,3566
27.25,27.44,26.62,26.87,7126
27.25,27.31,26.56,26.81,10688
27.25,27.31,26.69,26.87,14255
27.25,27.31,26.44,26.87,17813
27.25,27.37,26.56,26.87,21379
27.25,27.44,26.44,26.87,24937
27.25,27.31,26.5,26.81,28503
27.25,27.37,26.5,26.75,32062
27.25,27.37,26.56,26.81,35623
27.25,27.31,26.56,26.87,39186
27.25,27.37,26.56,26.75,42753
27.25,27.37,26.56,26.81,46318
27.25,27.37,26.75,28.69,49877
27.37,27.31,26.87,33.63,53443
27.69,27.37,27.37,37.69,57001
28.06,27.31,27.56,40.13,60567
28.31,27.37,27.81,41.63,64124
28.56,27.37,27.94,42.81,67686
28.75,27.37,28.0,43.56,71245
28.87,27.37,28.0,44.25,74809
29.0,27.37,28.06,44.75,78370
29.06,27.37,28.06,44.94,81932
29.12,27.37,28.0,45.06,85493
29.19,27.31,28.06,45.38,89050
29.25,27.37,28.06,45.44,92616
29.25,27.37,28.19,45.5,96174
29.31,27.31,28.19,45.63,99737
29.31,27.31,28.12,45.69,103298
29.31,27.31,28.19,45.75,106854
29.37,27.31,28.19,45.88,110419
29.37,27.37,28.19,46.06,113980
29.37,27.37,28.19,45.94,117540
29.37,27.31,28.12,45.94,121104
29.37,27.31,28.19,46.0,124664
29.37,27.37,28.12,46.19,128220
29.37,27.31,28.06,46.06,131786
29.37,27.31,28.12,46.25,135348
29.37,27.37,28.12,46.25,138905
29.37,27.37,28.12,46.25,142468
29.37,27.25,28.19,46.25,146029
29.37,27.31,28.19,46.31,149589
29.37,27.37,28.19,46.38,153155
29.37,27.37,28.19,46.44,156717
29.37,27.31,28.19,46.63,160272
29.44,27.31,28.19,46.5,163837
29.37,27.37,28.25,46.5,167398
29.44,27.37,28.25,46.63,170954
29.44,27.37,28.19,46.75,174514
29.44,27.44,28.25,46.75,178075
29.44,27.31,28.12,43.0,181632
29.19,27.37,27.75,37.88,185199
28.87,27.44,27.37,34.38,188756
28.56,27.44,27.19,32.25,192322
28.25,27.37,27.06,30.87,195884
28.06,27.37,26.94,30.12,199444
27.94,27.44,26.94,29.44,203009
27.81,27.44,26.81,29.06,206569
27.69,27.44,26.75,28.62,210136
27.62,27.5,26.69,28.5,213694
27.56,27.44,26.87,28.44,217261
27.56,27.44,26.87,28.25,220820
27.5,27.44,26.81,28.19,224387
27.5,27.44,26.75,28.19,227950
27.5,27.56,26.81,27.94,231510
27.5,27.5,26.81,27.94,235077
27.44,27.56,26.87,27.81,238636
27.44,27.56,26.75,27.81,242193
27.5,27.56,26.81,27.69,245759
27.44,27.62,26.87,27.62,249327
27.5,27.56,26.87,27.5,252885
27.5,27.62,26.81,27.5,256452
27.5,27.62,26.87,27.44,260013
27.5,27.62,26.87,27.37,263576
27.5,27.56,26.87,27.25,267141
27.5,27.69,26.87,27.25,270702
27.5,27.69,26.87,27.31,274702
